영상ID,영상제목,조회수,좋아요수,댓글수,채널ID,채널명,댓글수/조회수,좋아요수/조회수
-OzngRU77vc,상남자인 척함,1587557,31187,1864,UCXEKwWflysXu312NmIP_dlw,너덜트,0.11741310705694348,1.9644648979532702
akgF3t2dhXI,이것은 축구인가 예술인가..? 누구나 계획은 갖고 있다 네이마르를 상대하기 전까지는..,1092387,4002,2166,UC2qVOOz13xLXHaw9yW-aMXQ,동현kldh,0.19828137830274437,0.3663536823488379
BBsVzNsZSmo,"[#스푸파] 백종원이 직접 알려주는 뉴욕 맛집 목록🥩 스테이크, 버팔로 윙, 오바마가 즐겨 먹었다는 팬케이크까지🥞 | #편집자는",164366,1318,67,UCWYzc_p0GgfCepIWDHGFmEg,디글 :Diggle,0.04076268814718372,0.8018689996714649
HMI4wSiRl28,"Gary Payton Pushes Back On People Who Call Kobe Bryant ""Selfish""",58422,2181,191,UCbPY1Efha9VPRBYW2x1M16A,JJ Redick,0.3269316353428503,3.7331827051453224
l2VVxER8KTQ,아이유팬 찐 광기 vs 가짜 광기 - 【머글 초대석 EP.5】,4178,109,13,UCPRxwUKCZEUVYHRSSK7NnJw,머글 엔터테인먼트 Muggle Ent.,0.3111536620392532,2.608903781713739
CGu3yatXxqI,남의 남자,520178,10799,855,UChgOgRNxrtCcVARDQT_c-Zg,짧은대본 ShortPaper,0.16436681289866162,2.076020131570347
O493KLjOX2k,BTS TRY NOT TO LAUGH CHALLENGE #2 (REACTION),4676,804,51,UC8Qq7fYFLNN5JhIdh_hRYdQ,AbisWave Vlogs,1.0906757912745937,17.194183062446537
ySLAKbiJVC0,"""슈퍼주니어 규현 x 바스포드 티어측정 풀영상""【22.03.26-(1)】",121545,1525,198,UChK-A6-LYm6Dd_OEKDccbrQ,이제동 [풀영상 채널],0.16290262865605332,1.2546793368711178
A_zmfM0dBgg,불쾌한 애교로 조지기ㅋㅋㅋ,345097,9478,478,UCF2ecghgS_p1F925r-cIfdQ,음뫄 핫소스,0.1385117807457034,2.746474179723382
5jmXMG9zIuw,편스토랑 얼린 두부 프렌치토스트 만들기,43726,287,15,UCP9L3ktL9Rr9r_-ep7z4opw,보고먹찡,0.03430453277226364,0.6563600603759777
k1469KY_LPo,악에 물든 네오 버거킹!? 도넛치킨 & 디아블로 얼티밋 도넛 킹 리뷰,139681,2407,314,UCs1R9zP6rH2GlTNHUI5SBkw,승우아빠 일상채널,0.22479793243175522,1.7232121763160344
kzRoxSFVQsQ,데프트 이즈리얼 미친 스킬샷 | 롤 스트림 하이라이트,4078,42,15,UCKYHunssUrLm28Zy7cz-eZg,롤 매드무비,0.3678273663560569,1.0299166257969592
hG8DkGz1NI4,"유퀴즈 서예가 이정화, 드디어 서예스쿨 오픈?! [마음을 담다]",6689,131,8,UCsVn7lXvvIFJ-Kg0pxs0hew,폴앤마크tv,0.11959934220361788,1.958439228584243
DArulD-8NTA,little mix songs being played on korean variety/reality shows part 2,190,15,2,UCehH2E2RhN3C4HcIVvl57Ng,lookingxmiley,1.0526315789473684,7.894736842105263
z_WWBESu0jc,친절하신 남상미 배우님 카페 리얼 뷰맛집 양평신상카페 구벼울 1분소개,14507,83,1,UCzM3ZSxra4rL7SeCWuXLZjg,1분소개,0.006893223960846488,0.5721375887502586
C-LVd-gR2Ig,[반달의 삶: 허위딜러 12화] 허위딜러 만났을 때 대처법 알려드립니다,86136,1150,120,UCdHa4HY49iJ9ehZg58hB-6g,두친구,0.13931457230426303,1.3350979845825208
pWVn6dIrOIw,구현 해줘,64550,976,142,UCN8hAr9PSgY94RD6u7rZ_ig,인간젤리,0.21998450813323003,1.512006196746708
-PS1ocC9F5I,하루에 300그릇이나 팔린다는 SNS유명 맛집.. 실제로도 맛있을까? [맛탐정코큰남-덮밥맛집],61922,1421,99,UC5Ida86tt8QKa4Myw7idxNg,핫도그,0.15987855689415717,2.294822518652498
kOh2RS0_9ME,#멍마들  반려견 휴식을 위한 최고의 소리 | 반려견을 위한 노래 12시간 - The best sound for dog relaxation,1083,26,1,UCOWlTxwMeFNobymU5rID-8A,"멍마들 - 멍멍, 내 마음이 들리세요?",0.09233610341643582,2.4007386888273317
pATzDdYS0i8,[NCT / NCT127] 정우는 내 광대를 찢어 / 정우 입덕영상 (웃음편),131,4,0,UCxKcQq2QY2sP5M97EMi6mNg,오복이네,0.0,3.0534351145038165
p5_Rc1VbnYg,‘여우 창문’,9769,114,101,UC-K3VQ2IVu3M4tCG5O36YYg,키작녀라구😤,1.0338826901422868,1.1669566997645613
8LRLHADH2zU,(Reaction)TREASURE MAP EP.3-4 น่ารักกันจังนิ! @Noree Channel,206,13,7,UCsq2Gxa3pSHUA2s0HIrZjIw,Noree Channel,3.3980582524271843,6.310679611650485
tPugQ6juiUA,The concert of Why-Not Crew at Dak-galbi Restaurant? 《Why-Not Crew》 EP.2,168,3,0,UCVTkKwKT_8G0R5s0DgsMk8Q,jerix suzuki,0.0,1.7857142857142856
FNYL7Vg6KVY,How to Get Corki 3 on 4-2,8417,156,16,UC56Iy_N94h2ZuRGoyOJxteQ,TFT Clips,0.19009148152548414,1.8533919448734706
XIKWjS0dDVE,"[먹방 브이로그#51] 왜 벌써 6월이야..? 나이는 먹기 싫고 밥은 먹고 싶고🍚 삼첩분식 바질떡볶이,체다이불감자폭탄,황치즈쿠키,스콘,마들렌,크럼블,참치비빔밥,된장찌개,선이랑도넛",258764,5483,469,UC26QQCGh66xFU_NjhYLwdQQ,살빼조DietJo,0.18124623208792567,2.118919169590824
X9i2zEu1Juk,"혜안이 직접 하는 ""혜안 패션 월드컵""ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",238631,10791,875,UC8CIM3d3zDYMk-3T5aAz0yw,혜안,0.36667490812174447,4.52204449547628
0zKbCNSdzUY,먹방브이로그) 단짠으로 무한정 폭주먹방찍기🤭🤯(신전 로제떡볶이+치즈돈까스/교촌레드콤보/마라탕+꿔바로우/디저트먹방/마카롱/다쿠아즈/황치즈디저트먹방/쿠키슈/라면먹방),311608,4079,316,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.10140946317167723,1.3090164565736437
1VPTAatb6mw,"아나운서에서 산골 농부가 된 사나이 이계진, 26년차 자연 생활이 그에게 남긴 것｜#자연의철학자들 KBS1 매주 금 방송｜[국내여행] 20220527",1539915,16624,993,UCFw4M1BJYYdN1YtS8SzlDzg,KBS여행 걸어서 세계속으로,0.06448407866667966,1.0795401044862867
WG53jIa8UpI,미국 공원에서 한국 삑삑이 신발을 신고 돌아다니면 일어나는 일 ㅋㅋ,4903523,98676,3967,UCicKQUi8h4NI81wDmrDBD4A,올리버쌤,0.08090101749293314,2.012349080446854
jbeNCr_fMKY,[살뜰한 상식] 멈추지 '못'하는 폭식과의 싸움｜굿모닝 라이프｜JTBC 211210 방송,755717,4290,770,UCe-gh0jfKlR_EvsNyzYphww,JTBC Life,0.10188999321174462,0.5676728193225771
vWjK8o9431g,일상Vlog | 집에서 노는게 제일 재밌어 ㅋㅋ,592667,18008,942,UCKFvoxDM0NoLChK9hCe7VfQ,삐루빼로,0.15894254277697256,3.038468482301191
wvTA2NkOZbQ,사장님.. 짬뽕 한 그릇 시켰는데 왜 세숫대야가 나와요....?!!ㅣ대왕 짬뽕 중국집 먹방 Spicy Noodle Jjamppong MUKBANG,155848,4476,405,UCq9MDndXc1y3he3uPZLPskQ,[Nareum_TV] 나름TV,0.2598685899081156,2.8720291566141367
2NAxMz0bNys,[TAENG LOG. #1] “이게 제 하루에여‼️” 오랜만에 놀토 브이로그 📝 (with 실버버튼 언박싱),296579,20449,963,UCFPI8MI3zmzTlV4W-oSy-Ig,TAEYEON Official,0.32470269304300037,6.894958847389734
vpYfgzzAL8E,신전떡볶이+신전김밥+각종튀김들 먹는 먹방VLOG/불등뼈찜+당면/불금치킨+바게트볼+치밥/탕화쿵푸 마라탕/타르타르/딸기+오레오 생크림 누텔라와플/까눌레+휘낭시에+갈레르부르통/딸기파이,36926,632,41,UCowzNAHxPyiZoIfodZCouiw,비연Beeyeon,0.11103287656393868,1.7115311704490062
-Am4COvYRUM,제 깜짝 환영파티에 초대된 일본인 남친 친척들의 반응은?😳ㅎ..일본어 못함 주의😅 | 후쿠오카 vlog | 일본일상 | 한일커플 | 국제커플,234455,6238,448,UCa8kktUkK9JWZQoudZ_o5pg,Tacosama 타코사마,0.1910814442003796,2.660638502057964
wleTXJuLX5o,"[옾더레] 그래.. 행복했음 됐다… ^^ | 엽떡크림떡볶이,뿌링클,콘듀치킨,태리로제떡볶이,마카롱,케이크,문어오일파스타,스팸김치찌개,에르메스돈까스,생크림스콘,연어파티,새우탕면 등등",443420,4930,225,UCh5Swfph2irzVHOoxwT8EQA,나도나도DoDo,0.05074196021830319,1.111812728338821
yyWt-UrvySo,시원한 장타 5방 폭발 🪁 6월 4일 [덕아웃 직캠],2005,202,25,UCL6QZZxb-HR4hCh_eFAnQWA,LGTWINSTV,1.2468827930174564,10.074812967581046
kbNWwLAzjbI,"저희 드디어 결혼 날짜 정했습니다! 양가 부모님, 사장님과 함께 결혼 날짜 정하기♥",244471,4597,619,UCWWnWFPkfXMIjxNhBu5qVtg,매일제히,0.25319976602541816,1.8803866307251167
DR5vIPnqlYw,미국 슬리핑 기차에서 보낸 놀라운 34시간 ⎥🇺🇸미국1,582460,16170,1374,UC9gxOp_-R78phMHmv2bW_sg,원지의하루,0.23589602719500052,2.776156302578718
toePsKxK9a0,먹방브이로그) 디저트특집!! 빵순이들을 위한..💖 인스타디저트 맛집 다 모음 (파롤앤랑그/ 코코로카라/노티드 도넛/카페페퍼/파리크라상/디저트39/마카롱 먹방! 디저트 먹방),393749,5139,333,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.08457164335655457,1.3051461717998014
kftS-qJf5jc,sub)브이로그#09 인생등갈비김치찜+콘치즈 불닭짬뽕+짜장불닭+타코야끼 간지치킨+더매운고추치킨 짜글이찌개+국물닭발+응떡치즈 최애약과등장 감자빵 최애과자들 엘리게이터 파이 vlog,1122761,17464,1720,UCUqykp99_6oOV_8Z61txEOA,Bomnal Unnie 봄날언니,0.1531937785512678,1.5554512491972914
T24ow7UeaK4,141005 룸메이트 KARA_영지_2,1449254,7043,197,UCXpgxi-QVM0hNigkHS2Qf0w,Tuna Rainbow,0.013593200363773362,0.4859741632591665
LFwFdVHJc2c,2주동안 택배비 300만원 ..주문 폭주 브이로그 🔥 / 에이블리를 선택한 이유 / 밤샘포장 / 쇼핑몰브이로그,99127,1754,177,UC3chChRCEj8E-ENmMy3-VGA,은이_,0.17855881848537733,1.7694472747082028
HgEsShvt93g,먹방브이로그) 살은 쪘는데 🥲왜 평소보다 더 먹어?(돈마호크카츠+불닭/크런치버터치킨/마카롱/오르랔베이커리/분식/w스타일도넛/딸기빙수/투썸 케이크 먹방),371779,4400,294,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.07907923793436424,1.183498799017696
v7gOaxmw24I,먹방브이로그) 식단 중 폭주.! 만칼로리 챌린지!!!🤭( 뿌링클+치즈볼+뿌링핫도그/마카롱/디저트39/초밥/신참떡볶이 달고마떡볶이/편의점먹방/크로플 먹방/케이크먹방),445191,5760,346,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.07771945075259831,1.2938266946097292
fAm3xQq9rv4,"먹방브이로그) 바프 준비 전 소소하게 먹은 최애 음식 모음🍓 (W스타일도넛, 배떡로제떡볶이, 중국당면, 지코바, 1253타르트, 곱도리탕, 마카롱, 냉면, 수박빙수)",14405,328,22,UCAsHJbPbGENF_KJYhcdV0dw,나나 Nanasserie,0.15272474835126693,2.2769871572370706
MupLNLzmaq0,먹방브이로그) 입짧은 가족들 사이에서 혼자 폭주 하는 나🥲 (ASAP피자/ 크림빵 우유말먹/열라면+ 참치김밥+진미채김밥/ 과일타르트/ 크레이프케이크/티라미수/샌드위치 먹방),348044,4208,226,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.06493431864936616,1.2090425348519154
2Rj6snAaXYI,[nct dream] 드리미들 볼콕 사랑해유,13728,860,19,UCdzoH7WFVWJV0oYq3R02HDw,해찬이왔니?,0.1384032634032634,6.264568764568764
yKvXpzRKCDo,먹방브이로그) 만칼로리 하려고 단식했으면서 못참고 그냥 폭주먹방찍어버리기😳 (할머니가래떡볶이/ 나리꼬모/ 카페인 중독와플+ 와플대학/육회비빔냉면+ 숯불고기/ 신볶게티+멘보샤),387043,4005,218,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.05632449107721881,1.0347687466250521
O6fSH8srPis,먹방브이로그) 헐리우드48재도전.! 그리고 그 전 3일간 돼지파티🙄 (짜장면+파김치+크림새우+탕수육/ 나리꼬모 도넛/미스터피자/ 몽슈슈롤케이크/디저트 먹방),333844,3972,266,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.07967793340602197,1.1897772612357869
zmbNAhBNhPI,먹방브이로그) “그렇게 먹고 67kg인걸 감사하게 생각해..😐” 라는말들음..ㅎ(로제마라탕/노티드도넛/엽떡먹방/크림크로아상/곱도리탕/자메이카/크로플/마카롱 먹방),484558,4795,250,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.05159341090230685,0.9895616211062453
FRIni1TdhIg,(광고X) 아이디어스에 200만원 쓴 사람이 추천하는 아이디어스 디저트!!! (마카롱/ 휘낭시에/ 타르트/ 케이크/ 쿠키 / 디저트 먹방/ 먹방브이로그),253486,4562,257,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.10138626985316743,1.7997049146698436
fGKNRaNd_kw,"[살뜰한 상식] 운동과 식단을 열심히 해도 빠지지 않는 살, 이유는?｜다큐 플러스｜JTBC 210530 방송",351662,2584,451,UCe-gh0jfKlR_EvsNyzYphww,JTBC Life,0.12824814736878026,0.7347964807115924
aBr0lsrR1JM,먹방브이로그) 단식🥲을 앞둔 사람의 폭주먹방(엽기떡볶이+ 노랑고래도너츠/개성주악+아이스크림/마카롱/ 반올림피자/스콘/ 케이크먹방/ 돼지고기짜글이),401006,4338,302,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.07531059385645103,1.081779324997631
lF866XB7uaQ,찐따남의 가슴 따뜻한 서울 여행기,647705,13921,2938,UClRNDVO8093rmRTtLe4GEPw,곽튜브KWAKTUBE,0.4536015624396909,2.149280922642252
Xk1IIRmiUzA,임창정네 6부자👨‍👨‍👦 엄마 없이 첫 동반 외출하는 날!💥 [동상이몽|220530 SBS방송],1129943,8835,471,UCy-swBYpRZx7KW11FStjTgw,레알예능 스브스,0.04168351854916575,0.7818978479445423
EB2LQKf1Y-w,먹방브이로그) 살뺀거 유지할거냐고요? 잠깐만요🤭일단 이것좀 먹고..(라멘+크림새우/마카롱/크로플/시나본/곱창+비빔면/그릭요거트/마라샹궈 먹방),324924,3889,253,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.07786436212775912,1.1968952739717595
mCyaqAjS9iA,"터벅터벅터벅.. 나으 빵먹는 일상 | 빵크닉, 포스터리 베이커, 코코로카라, 이웃집 통통이, 신라호텔",17974,519,35,UCysSC6UjONpWKMbBupJZjpg,[빵튜브] 뽀니 BreadTube,0.19472571492155336,2.887504172693891
KMnmt6-5440,[CLASS:y(클라씨)] 데뷔 한 달 차 아이돌의 발소리,79831,2163,84,UCFSZAHPs2Jp5vb3AROMHcVg,리원투쓰리,0.10522228207087472,2.709473763325024
0AbriTBYbE0,[신속복습📝] 사상 최초 엄마 없이 임창정 6부자 놀이공원 데이 준비! #동상이몽2 #YouareMyDestiny #SBSenter,1134569,7846,519,UCmjNKt6kITwaZTqvWuaSPLg,SBS Entertainment,0.04574424296803456,0.6915401355052007
CVzShhJ-giQ,먹방브이로그) 내가 아는 65kg중 가장 많이 먹어.. 😳라는 말을 듣다 (황금올리브다리/ 배러덴와플/ 까르보불닭+대왕연어초밥/마카롱/ 투썸 케이크/마라탕 먹방),318609,3995,244,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.0765828962772552,1.2538879943755512
XyBlEgLq-8k,먹방브이로그) 만칼로리 후 관리브이로그? 아뇨 폭주브이로그😅 (비빔면+꼬간초+ 마늘족발/ 투썸케이크 먹방/ 매운갈비찜/ cu디저트/요거트아이스크림/토핑유부초밥+라면/뿌링클 먹방),397246,4325,312,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.07854075308499016,1.0887460163223794
f-LztXDh_W4,먹방브이로그) 계획 못짜고 못지키는 ENFP의 다이어트 다짐..ㅎ(마카롱/로제닭발/마제소바+튀김/크로플/슈프림양념치킨+치즈케이크피자/냉면/국밥 먹방),369332,4296,331,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.08962126217062155,1.1631810945165866
zvU4OiGK_38,먹방브이로그) 하루종일 굶고 치킨먹기..😖( ft. 처갓집 양념치킨 XO양념치킨),132874,1864,0,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.0,1.4028327588542528
9v8CjqYzgfQ,먹방브이로그) 치킨 먹으면서 미니 다이어트 큐엔에이 하기! 폭식증없는 유지어터(?)로사는중💓(굽네치킨 오븐 바사삭/ 치즈바사삭/ 크로플/ 디저트 먹방 치킨 먹방),181168,2466,139,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.07672436633401042,1.3611675351055375
mgXTuPC_XTE,"먹방 브이로그(빵폭식 2편 같은 쫌쫌따리 모음zip, 휘낭시에, 마들렌, 다쿠아즈, 마카롱, CU 편의점 신상 털이, 삼첩분식 바질 크림 떡볶이, 포비 베이글, 풀바셋 돌체라떼)",15558,0,43,UCG-1INCBCaEE_nApARQa9Jg,임나LIMNA,0.276385139478082,0.0
KPPahY7tLFY,[vlog🇦🇺] 세상에서 제일 건전한 30살 더티써리 생일 브이로그,1409302,37145,3004,UC6KwCU8Y8Uw4h_Q0ptLZkqw,해쭈 [HAEJOO],0.21315516475531857,2.63570192904005
lSGGYi_93TA,"🔥요즘 핫한! 올리브영 신상뷰티템 싹 다 모음.zip (1위 신상 쿠션, 롬앤 쿨톤 팔레트, 어뮤즈 쉬어 라벤더, 애교살 꿀템, 오버립 치트키, 존예 틴트 꿀조합, 복숭아템)",31620,797,94,UC3ZQbE9FKR8TwHYqTNcIXQQ,HOONION,0.297280202403542,2.5205566097406704
vwaCoZdVjs0,중간고사 끝난 거 맞지?! ・д・ 바쁘다 바빠.. 💦 패션의류학과 2학년의 시험기간 브이로그 🧵 | 유정 YUJEONG,169942,3564,109,UCBoQ8_HIOVbOA_FuYtTapqA,유정 YUJEONG,0.06413952995727953,2.097186098786645
c1jKQg7849c,내 한국인여친은 하시모토칸나랑 톡같다…! 일본 아이돌같다😎,22882,1066,69,UCQtH3xDfrg9uXvS1E0XF2zQ,たこログ타코로그,0.30154706756402416,4.658683681496373
impRQ-d9Cdk,열심히 벌고 열심히 쓰자! 💸 FLEX DAY 브이로그✷ 어버이날! 그리고 디올 성수 플래그쉽 스토어 .. ♥🏢 | 유정 YUJEONG,173982,3574,98,UCBoQ8_HIOVbOA_FuYtTapqA,유정 YUJEONG,0.05632766608039912,2.0542354956259845
3M7J8StoUL0,연예인병 쓰레기 웹드라마 배우 참교육,251793,4432,277,UCJ-ofC67CjMxBRmRIb6s9-w,PANGPANG STUDIO,0.11001100110011,1.76017601760176
1N_XjMUHNqw,"VLOG 1차만에 임신이라고..?!🫢남편한테 임밍아웃 서프라이즈, 눈물파티😭, 반전의 피검사 결과!",1516174,40243,5027,UCx0ZL5ldCGMqkOGqyO1qOkw,tweety 트위티,0.33155825122974014,2.6542468080840327
bOkDX4QFNqk,"[Eng]셋이 걷다, 담양 여행 브이로그✨ 콩빈이 말하기 시작? 떡갈비_맛집 영양제 다이어터 식단 골뱅이_소면",338369,7756,395,UCkh6TlSape86-iHiehXvsmA,yoovlog,0.11673646226456914,2.2921721552506287
lXug8-I3Zwk,"[VLOG] 일상 브이로그 | 스쿠터 뽑아따 (베스파 스프린트 🛵) |  여행 성수기 .. 또 부산갔슴 | 언박싱 (인스턴트펑크,젠몬,리오파) | 어버이날 목살 바베큐  | 나릿집",147662,2386,188,UC5duyhoJ4mXbZff6elnmvTw,하누,0.1273177933388414,1.6158524197152957
v3RptuB7TIE,"헐레벌떡 어리둥절 빙글빙글 돌아가는 이번주 VLOG (거의 생방각) | 마트장보기, 야외에서 곱창먹기, 한강 피크닉, 성수동에서 압구정까지! 그리고 멋찐 선글라스를 샀다",130558,3122,154,UCMJiRC8ebr3BM1bqSGy3lXA,강쥐G,0.1179552382849002,2.3912743761393402
v3oxFzrFo9o,한국어를 너무 사랑하는 그리스 대학생들과 현지 문화 즐겨보기 - 유럽여행 〔18〕,706207,16445,1623,UCaoqDZPllYXLAH_5OBRLLrw,채코제 Channel Korean Jay,0.22981930227256314,2.3286373542035124
PziwmiS9NxQ,누나 남자 생긴 거 이제 얘기할게,336133,6975,730,UCo4m81FJ-dT8MqijBlhbN2A,심장에박현서,0.2171759392859374,2.075071474684128
6A0du6XV1uw,진통제와 함께 하는 지옥의 월경 3일..🩸Record on 3 days of hellish menstruation with lots of painkillers,35129,918,102,UCf3b81YFYvGMtx3KBrnpsLg,에바EVA,0.29035839335022345,2.613225540152011
isA6tjDwm84,"VLOG 11주도 죽을맛😵‍💫 졸음과의 싸움, 24시간 어지러움+배땅김, 입덧근황",424802,8757,602,UCx0ZL5ldCGMqkOGqyO1qOkw,tweety 트위티,0.14171308044689054,2.0614309725472104
qUqaJ-ADi7I,한국 입국할때 활짝 웃던 네이마르 일본 도착하자마자 급 우울터진 이유,674480,14287,689,UCmEx0Z66HZdOrYqQhM46w3A,단골이슈,0.10215276954097972,2.1182244099157868
dZVBhm4yrYU,사이다)간땡이 부어 친구 엄카 몰래 훔친 주작충 유튜버의 최후 | [루대숲] - 61번째 사연,414608,7223,248,UCqHP70746lwBPFp30_wl5gQ,루디고GO,0.059815536603249335,1.7421275035696369
5KO7KVWkbNY,[1~2회 요약] 성공를 위해 성폭행 피해자를 죽음으로 몰고 간 오수재 #왜오수재인가 #WhyHer｜SBSNOW,34954,516,53,UCcOYEm78CpaZQvPE6LtoSeA,SBS NOW / SBS 공식 채널,0.1516278537506437,1.4762258968930595
E407voiYgqE,🤯🤯🤯월세 날리고 멘탈털린 3월march VLOG +다이어트 시동거는 중❤️‍🩹,141590,2795,168,UClZYXrFXxFGu-mif_fGrIhQ,It's me GRASS 그래쓰,0.11865244720672365,1.974009463945194
7d4IH_UluEY,"자동차로 바삭 바삭하고 부드러운 것을 분쇄! 실험용 자동차 대 콜라, 환타 슬라임 캔디 토이",159560,0,0,UCUMnuTWtE_NFvIKa4X8IKSg,ASMR Charley,0.0,0.0
zZZ8l-B4VzA,(24시간 VLOG) 기운없는 나에게 주는 특별한 하루 😶 / 파워 집순이...🏡 혼자서도 잘 놀아요 / 피부건강 챙기기 🍀,99269,1608,231,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.23270104463629127,1.61984103798769
0_wnOWbsmoQ,면쟁이의 배달음식 없이 다 만들어 먹은 자취 먹방브이로그/까르보 불닭으로 볶음밥 만들기,144176,0,139,UCYpoXjYbdw8zWAHWVm01tzw,리폴LeePaul,0.09640994340250805,0.0
JE9TTmJfI0A,👼🏼새 식구가 태어났어요! 경사 가득했던 한달의 추억들 요약 vlog,801376,22627,1069,UC6KwCU8Y8Uw4h_Q0ptLZkqw,해쭈 [HAEJOO],0.13339555963742364,2.8235185480972724
-5_90SOtlJI,"코시국 괌 여행 브이로그]내 인생 첫 괌 그리고 인생 햄버거를 찾다..!햄브로스,스노우몬스터,괌맛집,괌리프호텔,먹방브이로그 같은 여행",51,3,4,UC-GD5xlNR0-Zwj17kfIKL9g,맛뚱이,7.8431372549019605,5.88235294117647
f6OXzaIHdb0,"자동차로 바삭 바삭하고 부드러운 것을 분쇄! 실험용 자동차 대 콜라, 환타 슬라임 캔디 토이 #01",152651,0,0,UCZr4QNeGeNdxneZueVvwIZA,The BeamNG Experiment,0.0,0.0
HDZDFRnEqNE,VLOG 제이 놀리는게 제일 재밌어ㅣ인생네컷ㅣ단발머리고데기ㅣ머릿결관리ㅣPT,237860,2715,410,UCeuDXPTV54EIM1G8ZOzZBrQ,곰민영 gominzero,0.17237030185823593,1.1414277305978306
6Q5PzyqAY68,"자동차로 바삭 바삭하고 부드러운 것을 분쇄! 실험용 자동차 대 콜라, 환타 슬라임 캔디 토이",55752,0,0,UCXkJjlUQg47Ms6uqLmjzNUw,ASMR Galaxy,0.0,0.0
K4MfBTxHHuM,"자동차로 바삭 바삭하고 부드러운 것을 분쇄! 실험용 자동차 대 콜라, 환타 슬라임 캔디 토이#12",193353,0,0,UCZr4QNeGeNdxneZueVvwIZA,The BeamNG Experiment,0.0,0.0
mSAoLdDOQF0,"한동수 대검 감찰부장, ""내년 10월까지 임기"" 라며 버티겠다는데 한동훈 대응은?",287676,32490,1002,UCFWIofVBqseX6Bmd9Dn7kgg,성창경 TV,0.3483085137446294,11.293955700162684
tQJIF_5m-jw,"자동차로 바삭 바삭하고 부드러운 것을 분쇄! 실험용 자동차 대 콜라, 환타 슬라임 캔디 토이 #24",51018,9627,0,UCagXdh7zLreWYanfMBbk3UQ,Una Vita in Vacanza,0.0,18.869810655062917
cMlyMemKw7Q,"5일 VLOGㅣ제이와 자라 쇼핑, 남자친구랑 봄옷 고르기ㅣ퇴근하고 공부ㅣ최근에 산 옷들 언박싱ㅣ한남동 브런치",165336,1853,145,UCeuDXPTV54EIM1G8ZOzZBrQ,곰민영 gominzero,0.08770019838389703,1.120748052450767
2xfgBGI2rqg,놀다가 발 다쳐서 반깁스 하게 됐어요ㅠ 어쩌다가 이렇게 된걸까요? 가족 일상 브이로그 vlogㅣ토깽이네,196184,4000,771,UCniBqAPwwWIQLbYo4uK2RWg,토깽이네,0.3929984096562411,2.0389022550258944
tHUK2FTGO5U,X슴 사이즈(?)로 서열정리하는 여캠ㅋㅋㅋㅋㅋㅋㅋ,109984,1116,62,UC69uMhRJcUnvMnMxKT2SS0w,(MUTUBE)와꾸대장봉준,0.056371835903404124,1.0146930462612744
DGW6Au_-uF4,토핑만 무려 3kg 초거대 피자만들기! 이게다 소시지랑 베이컨... 노오븐! 밥통으로만드는 시카고피자 SINCOOK-신쿡,561724,10381,731,UCRH7j5GsT7MWuEFwjORNlFg,SINCOOK - 신쿡,0.13013508413384509,1.8480606133973267
fuaKBmXvZ-o,[먹방브이로그]#12 평일에 힘들어도 버틸 수 있는 이유 주말이라도 스트레스 받지 말자(간지치킨/더매운고추치킨/호랑이치즈볼/포테이토치즈스틱/짜장면/탕수육/군만두/왕뚜껑/통참치김밥),371,0,0,UCuTV1nW3rilA-2JPVhA-3wg,지나킴(GiNaKim),0.0,0.0
aatfL4DxrBE,첫 라이브✨,1100490,21195,2004,UCET3I7YOuGTO31OlYdg2B_w,신세경 sjkuksee,0.18210070059700678,1.925960254068642
FrDDkFk32b8,[먹방브이로그]매일이 외식🍗/ 치킨/ 떡볶이/ 파스타/ 폭립/ 삼겹살,516,16,5,UCH_2RZZ5p-IfNrjTJ8QhJSw,어그미uggme,0.9689922480620154,3.10077519379845
tlz-r5Hff78,10만 기념! 먹짱 혁수 급라방! 치방!,194959,2423,310,UC-tf6zl3dN2oTpvdTnBKScA,권혁수 감성,0.15900779138177773,1.2428254145743465
