영상ID,영상제목,조회수,좋아요수,댓글수,채널ID,채널명,댓글수/조회수,좋아요수/조회수
PDxr4YzFh4c,"다시 돌아온 혜미언니 생일파티 호캉스 브이로그🎂 오랜만에 언니들과💗(feat.태리, 혜미, 새은)",340413,6415,264,UCa3rtpRevP5UyAFX358w0iA,수수연수,0.07755285491447154,1.8844756222588446
XYFCVOteWEQ,"vlog : 조카랑새언니랑!👼 비오는날데이트,집콕,라로슈포제로 피부케어,쌀국수 etc.",67578,1928,305,UCunYvebTRsZOXfPSJL8DGfw,쪼앤 JOANNE,0.4513303145994258,2.852999496877682
EPC_T45zzbo,집에서 처음 보는 SD카드를 주웠는데... 그것은 판도라의 상자?! 전여친 사진 꿀잼 몰카 가족 일상 브이로그 vlogㅣ토깽이네,259650,4779,543,UCniBqAPwwWIQLbYo4uK2RWg,토깽이네,0.20912767186597342,1.8405545927209703
yfKCJhzcqIY,큰태리를 향한 관종언니의 솔직한 진심..!😭 감동 모먼트 넘치는 관종가족의 강원도 인제 당일치기 여행 브이로그!! [밉지않은 관종언니 이지혜],295868,5963,220,UCtkRVaUSpkuhqdKv39oBXKA,밉지않은 관종언니,0.07435748374275014,2.015425797990996
e5dGa-avZ_0,[BR-VLOG] 내일 첫출근하는 배순이는 이 영상 필수🙃 | 배라알바꿀팁 | 세로담기 꿀팁 | 출근부터 퇴근까지 | 배라 브이로그,168264,1869,187,UCTBzHtU1vykoTNF-qnCPWoA,새콤달콤,0.11113488327865735,1.1107545285979177
5zBp2Z42PhM,"일본 코타 본가🏠에서 가족과 하숙생활 vlog 😳부모님과 떨리는 첫만남 | 밥부터 빨래까지 다 해주시는 어무님... | 후쿠오카 생활, 일본 브이로그 | 한일커플",288734,6544,757,UCa8kktUkK9JWZQoudZ_o5pg,Tacosama 타코사마,0.26217902983368774,2.266445932934812
1U2c3yvhs0c,"[Eng]슬슬...이사 준비 시작✨ 광주 가며 휴게소 맛집, 돌아기 진짜 생일, 현실 육아, 전투 식사.",531787,9698,572,UCkh6TlSape86-iHiehXvsmA,yoovlog,0.10756186217414115,1.8236624814070295
eiyDy-K8GdA,바나나로 만드는 해외 유명 디저트! 먹어보면 왜 유명한지 알게 돼요!,794,60,2,UCrJ0RPeCjQcwvJJHtpKHHAA,곰쓰 쉬운 베이킹,0.2518891687657431,7.5566750629722925
mh2-jMJCEaA,오디션이 내일모레인데 다리를 다쳤어요 ㅠㅠ 유니는 오디션을 무사히 마칠 수 있을까요 ?? 별난가족 일상 브이로그 유니의 성장 스토리 byulnan family,237066,2817,330,UCaLbwffvwfKaM4sJX60ajjg,별난 가족 byulnan family,0.13920174128723647,1.1882766824428639
4nyTKTuUO0c,Vlog_18_김수민 아나운서의 월화수목금금금 (태풍과 함께 주말근무),38712,517,66,UC-Q_jv2YDuzSY-zK2ZgRa4g,수망구,0.1704897706137632,1.335503203141145
PCe8vX4srdk,“집 앞인데 나올래?” 친구vs썸남,774902,14858,77,UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,0.009936740387816782,1.9174037491192435
hEL2ql-gj1g,"신입사원 첫 출근 브이로그 | 출근할 땐 풀착장, 퇴근할 땐 좀비 | 퇴근해도 공부하고 일하는 직장인 일상 Vlog | 새니",312856,3971,211,UC7Y_6b9EIzOjsQNnmFN7Kew,새니 SENI,0.06744316874216892,1.2692740430102027
AU8CW3qOuS4,"중학교 역사교사 브이로그 #5 (블렌디드러닝 수업, 등교개학, 온라인 수업, 막걸리 혼술, 카공, 급식, 생활지도, 직장인 일상)",25031,304,61,UCPbqLF1boBaeI1NPD4EXboQ,역사로운 세니 생활,0.2436978147097599,1.2144940274060165
lVFeZqjaQfE,브이로그#76 💙풀빌라에서 어린이날파티🥳GRWM🎉돈티슈선물💵레고🎈,142474,2758,255,UCkMN06eC97XL1qR1bExdwWg,기용이tv,0.1789800244255092,1.9357917935904096
bOHM1rmlEDw,놀이터에서 놀다가 다친 뚜아.. 병원에 갔는데 보호대하고 며칠동안 있어야 한대요! ㅠㅠ,283482,4580,1298,UCbbC0FaznmgJDuehIuQvYMA,뚜아뚜지TV,0.45787739609569567,1.6156228614162451
yqqlL7f0AeQ,Vlog_9_첫 출장 브이로그🎤 (BTS 4sec in vlog / SBS광주슈퍼콘서트),129631,1210,99,UC-Q_jv2YDuzSY-zK2ZgRa4g,수망구,0.07637062122486134,0.9334187038594164
bpDzRsXKdEw,[서현진] 자기할 말만 하고 나가는 오수재,24666,227,12,UCuqaSifZCmc0xoZtRzBCSLA,서현진짜귀여워,0.048649963512527365,0.920295143111976
m08RbvC3AQw,"전 남친, 전 여친 마주쳤을 때 유형 ㅋㅋㅋ 아 식은땀난다 진짜;;",169347,4710,680,UCmzMtXrJgfCqA0rfhz8_P4A,웃소 Wootso,0.40154239520038737,2.7812715902850362
MTscc8CfcZQ,먹방브이로그) 69찍음..ㅎ70넘지 않기 위한 다이어트! 그리고 자메이카 뜯기(?)🤔 (자메이카+연어초밥/매운치즈갈비찜/ 채민당 황치즈 마카롱/디저트먹방/닭발+크림파스타/수제버거,129447,2448,213,UCJ66AvaHJ2pHD_-AyUailuQ,가오니의 메뉴판GAONI,0.16454610767341074,1.8911214628380728
-mQMfYr5QKE,결혼하는 동생에게 혼수가전 깜짝 선물했어요!! 동생의 반응은?? EP.2 감동주의!!,669432,7701,312,UCYDyvqaGX6WxH77N04sj6mg,LIJULIKE,0.04660667550998458,1.1503782310974078
wFSLMADLGlQ,Vlog_4_봄맞이 갤러리투어 (봄봄봄 봄이왔어요~🌼),25092,394,78,UC-Q_jv2YDuzSY-zK2ZgRa4g,수망구,0.31085604973696795,1.5702215845687868
a5mI2TSIDgs,웨딩촬영 준비 이렇게 하는거 맞나요..?너무 힘드네요,272308,4507,395,UCVyMrl0N9SMwqaa2OHcJOkA,예씨 yessii,0.14505633326967993,1.6551111241682213
f-m3EXW9Rj0,브이로그#77 diy과일바구니🍎🍋🥝|어버이날🌺| 만화카페📚|포켓몬스터빵 거래🥖|수박달걀말이🍉,126414,2242,225,UCkMN06eC97XL1qR1bExdwWg,기용이tv,0.17798661540652144,1.7735377410729825
8_E-5ia25jA,[놀면 뭐하니?] 초반부터 화려한 이 라인업 실화...? [WSG워너비 최종 12인 얼굴 공개 Part.1] MBC 220528 방송 (Hangout with Yoo),1275193,9117,996,UCx6jsZ02B4K3SECUrkgPyzg,놀면 뭐하니?,0.07810582398115422,0.714950599634722
yAB-ZeyKITk,촬영 중 갑자기 우는 엄마 ㅠㅠ 만약에 내가 아빠라면... 울고 싶다 ?! ㅋㅋㅋㅋ,102986,4090,211,UCYhUJGAH6HhOUJokzRupkpQ,버섯도리,0.204882217000369,3.9714135901967254
